parent,name,value,classification_1,classification_2,classification_3
حزب الله,أمين شري,26363,شيعة,الوفاء للمقاومة,وحدة بيروت
حزب الله,رائد برو,9508,شيعة,الوفاء للمقاومة,كنا وسنبقى
حزب الله,علي عمار,14852,شيعة,الوفاء للمقاومة,الوفاق الوطني
حزب الله,حسن عز الدين,27927,شيعة,الوفاء للمقاومة,الأمل والولاء
حزب الله,حسين الجشي,27416,شيعة,الوفاء للمقاومة,الأمل والولاء
حزب الله,محمد رعد,48543,شيعة,الوفاء للمقاومة,الأمل والولاء
حزب الله,علي فياض,37047,شيعة,الوفاء للمقاومة,الأمل والولاء
حزب الله,حسن فضل الله,43324,شيعة,الوفاء للمقاومة,الأمل والولاء
حزب الله,رامي أبو حمدان,15601,شيعة,الوفاء للمقاومة,زحلة الرسالة
حزب الله,علي المقداد,20356,شيعة,الوفاء للمقاومة,الأمل والولاء
حزب الله,حسين الحاج حسن,23120,شيعة,الوفاء للمقاومة,الأمل والولاء
حزب الله,ابراهيم الموسوي,19627,شيعة,الوفاء للمقاومة,الأمل والولاء
حزب الله,إيهاب حمادة,20844,شيعة,الوفاء للمقاومة,الأمل والولاء
حركة أمل,محمد خواجة,5789,شيعة,التنمية والتحرير,وحدة بيروت
حركة أمل,فادي علامة,4862,شيعة,التنمية والتحرير,الوفاق الوطني
حركة أمل,علي عسيران,2294,شيعة,التنمية والتحرير,الأمل والولاء
حركة أمل,ميشال موسى,1364,اليونانية الكاثوليكية,التنمية والتحرير,الأمل والولاء
حركة أمل,نبيه بري,42091,شيعة,التنمية والتحرير,الأمل والولاء
حركة أمل,علي خريس,16964,شيعة,التنمية والتحرير,الأمل والولاء
حركة أمل,عناية عزالدين,15266,شيعة,التنمية والتحرير,الأمل والولاء
حركة أمل,هاني قبيسي,20195,شيعة,التنمية والتحرير,الأمل والولاء
حركة أمل,ناصر جابر,6236,شيعة,التنمية والتحرير,الأمل والولاء
